"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 15 17:11:37 GET 2025","Sun Jun 15 17:11:45 GET 2025","8209","","PersonalAreaTest","","PersonalAreaTest","exitFromLk[0]","Выход из Личного кабинета",""
"passed","Sun Jun 15 17:15:05 GET 2025","Sun Jun 15 17:15:12 GET 2025","6846","","FromPersonalToConstructorTest","","FromPersonalToConstructorTest","transitionToConstructorFromLk[Кнопка: LOGO_STELLAR_BURGER, Браузер: chrome]","Переход из ЛК в Конструктор",""
"passed","Sun Jun 15 17:15:27 GET 2025","Sun Jun 15 17:15:36 GET 2025","8785","","RegisterTest","","RegisterTest","createCorrectUser[Браузер: chrome]","Корректная регистрация",""
"passed","Sun Jun 15 17:15:50 GET 2025","Sun Jun 15 17:15:56 GET 2025","6539","","RegisterTest","","RegisterTest","createUserIncorrectPassword[Браузер: yandex]","Регистрация с некорректным паролем (< 6 символов)",""
"passed","Sun Jun 15 17:12:12 GET 2025","Sun Jun 15 17:12:27 GET 2025","14104","","PersonalAreaTest","","PersonalAreaTest","exitFromLk[1]","Выход из Личного кабинета",""
"passed","Sun Jun 15 17:15:36 GET 2025","Sun Jun 15 17:15:41 GET 2025","5894","","RegisterTest","","RegisterTest","createUserIncorrectPassword[Браузер: chrome]","Регистрация с некорректным паролем (< 6 символов)",""
"passed","Sun Jun 15 17:13:16 GET 2025","Sun Jun 15 17:13:27 GET 2025","11219","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_RECOVERY_PASSWORD, Браузер: chrome]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:13:57 GET 2025","Sun Jun 15 17:14:09 GET 2025","11525","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_RECOVERY_PASSWORD, Браузер: yandex]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:11:45 GET 2025","Sun Jun 15 17:12:12 GET 2025","27083","","PersonalAreaTest","","PersonalAreaTest","personalAreaButtonWithAuthUser[1]","Переход в Личный кабинет авторизованным пользователем",""
"passed","Sun Jun 15 17:14:58 GET 2025","Sun Jun 15 17:15:05 GET 2025","7126","","FromPersonalToConstructorTest","","FromPersonalToConstructorTest","transitionToConstructorFromLk[Кнопка: CONSTRUCTOR, Браузер: chrome]","Переход из ЛК в Конструктор",""
"passed","Sun Jun 15 17:14:09 GET 2025","Sun Jun 15 17:14:20 GET 2025","11185","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: BUN, Браузер: chrome]","Проверка перехода по разделам конструктора",""
"passed","Sun Jun 15 17:13:48 GET 2025","Sun Jun 15 17:13:57 GET 2025","8772","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_REGISTER_PAGE, Браузер: yandex]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:13:39 GET 2025","Sun Jun 15 17:13:48 GET 2025","9765","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_LK, Браузер: yandex]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:12:51 GET 2025","Sun Jun 15 17:13:04 GET 2025","12894","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_LK, Браузер: chrome]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:11:26 GET 2025","Sun Jun 15 17:11:37 GET 2025","11433","","PersonalAreaTest","","PersonalAreaTest","personalAreaButtonWithAuthUser[0]","Переход в Личный кабинет авторизованным пользователем",""
"passed","Sun Jun 15 17:14:27 GET 2025","Sun Jun 15 17:14:34 GET 2025","6959","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: FILLING, Браузер: chrome]","Проверка перехода по разделам конструктора",""
"passed","Sun Jun 15 17:14:51 GET 2025","Sun Jun 15 17:14:58 GET 2025","7739","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: FILLING, Браузер: yandex]","Проверка перехода по разделам конструктора",""
"passed","Sun Jun 15 17:13:27 GET 2025","Sun Jun 15 17:13:39 GET 2025","11774","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_HOME_PAGE, Браузер: yandex]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:12:27 GET 2025","Sun Jun 15 17:12:51 GET 2025","24926","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_HOME_PAGE, Браузер: chrome]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:14:41 GET 2025","Sun Jun 15 17:14:50 GET 2025","9326","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: SAUCE, Браузер: yandex]","Проверка перехода по разделам конструктора",""
"passed","Sun Jun 15 17:15:20 GET 2025","Sun Jun 15 17:15:27 GET 2025","6704","","FromPersonalToConstructorTest","","FromPersonalToConstructorTest","transitionToConstructorFromLk[Кнопка: LOGO_STELLAR_BURGER, Браузер: yandex]","Переход из ЛК в Конструктор",""
"passed","Sun Jun 15 17:15:12 GET 2025","Sun Jun 15 17:15:20 GET 2025","7798","","FromPersonalToConstructorTest","","FromPersonalToConstructorTest","transitionToConstructorFromLk[Кнопка: CONSTRUCTOR, Браузер: yandex]","Переход из ЛК в Конструктор",""
"passed","Sun Jun 15 17:15:41 GET 2025","Sun Jun 15 17:15:50 GET 2025","8508","","RegisterTest","","RegisterTest","createCorrectUser[Браузер: yandex]","Корректная регистрация",""
"passed","Sun Jun 15 17:14:20 GET 2025","Sun Jun 15 17:14:27 GET 2025","6698","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: SAUCE, Браузер: chrome]","Проверка перехода по разделам конструктора",""
"passed","Sun Jun 15 17:13:04 GET 2025","Sun Jun 15 17:13:16 GET 2025","11281","","LoginTest","","LoginTest","loginTest[Кнопка: LOGIN_ON_REGISTER_PAGE, Браузер: chrome]","Авторизация в ЛК",""
"passed","Sun Jun 15 17:14:34 GET 2025","Sun Jun 15 17:14:41 GET 2025","7582","","ConstructorTest","","ConstructorTest","shouldSwitchSectionsCorrectly[Раздел: BUN, Браузер: yandex]","Проверка перехода по разделам конструктора",""
